CO_NAME,Cline_Code,[Company Long Name,[Sector,[Industry
Biofil Chemicals,3332,Biofil Chemicals & Pharmaceuticals Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Marksans Pharma,3338,Marksans Pharma Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs
Omega Labs,3339,Omega Laboratories Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Formulations
Universal Starch,3341,Universal Starch Chem Allied Ltd,Miscellaneous,Starch
Standard Surfact,3343,Standard Surfactants Ltd,FMCG,Detergents / Intermediates
Morgan Ventures,3344,Morgan Ventures Ltd,Finance,Finance - Small
Shalin Hotels,3347,Shalin Hotels Ltd,Realty,Construction - Factories / Offices / Commercial
Nagarjuna Granit,3348,Nagarjuna Granites Ltd,Miscellaneous,Granite & Marble - Large
Tarai Foods,3349,Tarai Foods Ltd,FMCG,Food - Processing - Others
ITL Industries,3353,ITL Industries Ltd,Capital Goods-Non Electrical Equipment,Machine Tools - Others
Aircommand Air.,3356,Aircommand Airtechnics Ltd,Consumer Durables,Air-conditioners
Mercator,3357,Mercator Ltd,Shipping,Shipping - medium / small
KLJ Plastics,3360,KLJ Plastics Ltd,Packaging,Packaging - Polysacks
Best Eastern Hot,3361,Best Eastern Hotels Ltd,Hotels & Restaurants,Hotels - Small
Simplex Castings,3364,Simplex Castings Ltd,"Castings, Forgings & Fastners",Castings - Steel / Alloy
Omnitex Industri,3366,Omnitex Industries (India) Ltd,Textiles,Textiles - Texturising
SVOGL Oil Gas,3367,SVOGL Oil Gas & Energy Ltd,Crude Oil & Natural Gas,Oil Exploration / Allied Services
Ishita Drugs,3368,Ishita Drugs & Industries Ltd,Pharmaceuticals,Pharmaceuticals - Indian - Bulk Drugs
Prem. Explosives,3374,Premier Explosives Ltd,Chemicals,Industrial Explosives
Foseco India,3375,Foseco India Ltd,Chemicals,Chemicals - Speciality - Medium / Small
Control Print,3376,Control Print Ltd,Packaging,Packaging - Others
Orient Beverages,3378,Orient Beverages Ltd,Miscellaneous,Miscellaneous - Medium / Small
Patspin India,3387,Patspin India Ltd,Textiles,Textiles - Cotton Yarn - 100% EOUs
John Cockerill,3388,John Cockerill India Ltd,Capital Goods-Non Electrical Equipment,Engineering - Heavy - General - Medium / Small
BIL Industries,3389,BIL Industries Ltd,Trading,Trading - Medium / Small
Nu-Tech Corp.,3392,Nu-Tech Corporate Services Ltd,Finance,Finance - Small
Sh. Steel Wire,3394,Shree Steel Wire Ropes Ltd,Steel,Steel - Wires
